customer_id,customer_segment,customer_tenure_days,previous_transaction_count,previous_success_count,previous_failure_count,previous_recovery_count
cust_000001,RETURNING,98,9,8,1,0
cust_000002,RETURNING,346,7,7,0,0
cust_000003,HIGH_VALUE,1965,38,35,3,1
cust_000004,RETURNING,306,8,7,1,1
cust_000005,NEW,19,1,1,0,0
cust_000006,LOYAL,470,24,19,5,0
cust_000007,LOYAL,1084,24,24,0,0
cust_000008,NEW,14,0,0,0,0
cust_000009,RETURNING,388,7,6,1,0
cust_000010,LOYAL,1194,23,22,1,0
cust_000011,LOYAL,670,30,25,5,1
cust_000012,HIGH_VALUE,779,32,29,3,1
cust_000013,RETURNING,380,12,9,3,0
cust_000014,RETURNING,171,9,6,3,0
cust_000015,RETURNING,33,9,9,0,0
cust_000016,HIGH_VALUE,2010,41,40,1,1
cust_000017,RETURNING,484,8,7,1,0
cust_000018,LOYAL,1458,20,20,0,0
cust_000019,RETURNING,147,5,3,2,2
cust_000020,RETURNING,434,4,2,2,1
cust_000021,LOYAL,1151,23,19,4,4
cust_000022,RETURNING,248,7,6,1,0
cust_000023,LOYAL,1266,19,19,0,0
cust_000024,RETURNING,341,9,7,2,0
cust_000025,RETURNING,310,7,6,1,0
cust_000026,RETURNING,272,8,8,0,0
cust_000027,RETURNING,266,8,6,2,0
cust_000028,RETURNING,422,6,2,4,1
cust_000029,NEW,41,0,0,0,0
cust_000030,NEW,4,0,0,0,0
cust_000031,LOYAL,909,27,25,2,2
cust_000032,RETURNING,73,7,6,1,0
cust_000033,LOYAL,1171,26,22,4,1
cust_000034,NEW,28,2,2,0,0
cust_000035,RETURNING,186,14,14,0,0
cust_000036,RETURNING,36,9,6,3,0
cust_000037,LOYAL,492,24,20,4,2
cust_000038,LOYAL,422,18,12,6,1
cust_000039,RETURNING,209,8,6,2,0
cust_000040,LOYAL,1489,18,15,3,2
cust_000041,NEW,18,3,2,1,0
cust_000042,RETURNING,387,6,4,2,0
cust_000043,NEW,43,1,0,1,1
cust_000044,RETURNING,366,6,5,1,1
cust_000045,LOYAL,616,25,23,2,1
cust_000046,LOYAL,951,23,21,2,1
cust_000047,RETURNING,47,7,7,0,0
cust_000048,RETURNING,494,8,7,1,0
cust_000049,LOYAL,1036,25,25,0,0
cust_000050,HIGH_VALUE,793,38,30,8,1
cust_000051,RETURNING,322,4,4,0,0
cust_000052,RETURNING,148,9,9,0,0
cust_000053,RETURNING,233,9,7,2,2
cust_000054,RETURNING,77,11,8,3,1
cust_000055,HIGH_VALUE,2914,23,20,3,0
cust_000056,RETURNING,307,5,5,0,0
cust_000057,LOYAL,1518,21,20,1,1
cust_000058,NEW,60,1,1,0,0
cust_000059,RETURNING,431,11,9,2,0
cust_000060,LOYAL,391,22,21,1,1
cust_000061,RETURNING,190,9,9,0,0
cust_000062,RETURNING,172,7,6,1,0
cust_000063,HIGH_VALUE,918,33,32,1,1
cust_000064,LOYAL,1237,21,21,0,0
cust_000065,RETURNING,89,3,3,0,0
cust_000066,RETURNING,240,8,7,1,0
cust_000067,RETURNING,237,5,5,0,0
cust_000068,RETURNING,164,8,7,1,0
cust_000069,RETURNING,141,7,6,1,0
cust_000070,RETURNING,426,4,4,0,0
cust_000071,LOYAL,1335,21,17,4,0
cust_000072,LOYAL,355,19,15,4,2
cust_000073,LOYAL,945,24,21,3,3
cust_000074,HIGH_VALUE,1628,31,31,0,0
cust_000075,LOYAL,449,29,28,1,0
cust_000076,LOYAL,1600,17,17,0,0
cust_000077,LOYAL,852,19,18,1,0
cust_000078,RETURNING,299,9,9,0,0
cust_000079,RETURNING,454,8,7,1,0
cust_000080,RETURNING,229,6,6,0,0
cust_000081,RETURNING,392,7,7,0,0
cust_000082,RETURNING,105,5,5,0,0
cust_000083,RETURNING,414,10,9,1,1
cust_000084,RETURNING,317,3,2,1,0
cust_000085,RETURNING,48,2,2,0,0
cust_000086,RETURNING,354,10,9,1,0
cust_000087,LOYAL,511,24,22,2,1
cust_000088,LOYAL,189,30,28,2,0
cust_000089,NEW,30,0,0,0,0
cust_000090,NEW,14,1,1,0,0
cust_000091,RETURNING,315,7,6,1,0
cust_000092,LOYAL,635,22,22,0,0
cust_000093,LOYAL,751,16,15,1,1
cust_000094,NEW,34,3,3,0,0
cust_000095,LOYAL,840,19,17,2,2
cust_000096,NEW,24,1,1,0,0
cust_000097,RETURNING,448,8,8,0,0
cust_000098,HIGH_VALUE,2580,51,49,2,1
cust_000099,RETURNING,246,8,2,6,2
cust_000100,NEW,18,0,0,0,0
cust_000101,RETURNING,38,7,6,1,0
cust_000102,RETURNING,412,7,4,3,0
cust_000103,HIGH_VALUE,1335,37,37,0,0
cust_000104,HIGH_VALUE,2240,32,27,5,3
cust_000105,NEW,32,2,0,2,1
cust_000106,NEW,58,0,0,0,0
cust_000107,LOYAL,1612,26,24,2,1
cust_000108,RETURNING,207,3,2,1,0
cust_000109,LOYAL,784,26,23,3,0
cust_000110,LOYAL,1038,28,25,3,1
cust_000111,NEW,0,0,0,0,0
cust_000112,LOYAL,838,23,21,2,0
cust_000113,NEW,45,1,0,1,0
cust_000114,RETURNING,389,8,8,0,0
cust_000115,RETURNING,417,3,3,0,0
cust_000116,RETURNING,448,8,7,1,0
cust_000117,LOYAL,1758,21,21,0,0
cust_000118,RETURNING,271,3,2,1,0
cust_000119,HIGH_VALUE,1581,37,29,8,3
cust_000120,HIGH_VALUE,2952,36,35,1,1
cust_000121,RETURNING,364,2,2,0,0
cust_000122,NEW,8,1,0,1,0
cust_000123,LOYAL,819,25,23,2,1
cust_000124,HIGH_VALUE,548,46,44,2,1
cust_000125,RETURNING,417,7,5,2,1
cust_000126,RETURNING,499,6,6,0,0
cust_000127,RETURNING,393,10,10,0,0
cust_000128,NEW,1,2,1,1,0
cust_000129,LOYAL,1405,23,21,2,1
cust_000130,RETURNING,31,6,6,0,0
cust_000131,LOYAL,466,21,19,2,1
cust_000132,LOYAL,776,31,30,1,1
cust_000133,LOYAL,1250,27,27,0,0
cust_000134,RETURNING,375,6,6,0,0
cust_000135,RETURNING,416,8,7,1,0
cust_000136,LOYAL,1594,30,30,0,0
cust_000137,LOYAL,896,24,22,2,2
cust_000138,RETURNING,205,11,8,3,1
cust_000139,LOYAL,1284,20,14,6,2
cust_000140,NEW,26,0,0,0,0
cust_000141,LOYAL,1519,22,22,0,0
cust_000142,NEW,26,0,0,0,0
cust_000143,NEW,57,2,1,1,1
cust_000144,RETURNING,374,8,8,0,0
cust_000145,NEW,45,1,1,0,0
cust_000146,NEW,38,0,0,0,0
cust_000147,NEW,3,0,0,0,0
cust_000148,RETURNING,425,4,2,2,1
cust_000149,LOYAL,1206,20,20,0,0
cust_000150,NEW,44,0,0,0,0
cust_000151,RETURNING,205,9,8,1,0
cust_000152,LOYAL,431,26,21,5,2
cust_000153,NEW,4,1,0,1,0
cust_000154,NEW,7,0,0,0,0
cust_000155,LOYAL,1452,40,31,9,5
cust_000156,LOYAL,522,24,22,2,2
cust_000157,RETURNING,436,9,6,3,0
cust_000158,LOYAL,612,23,21,2,1
cust_000159,NEW,33,2,2,0,0
cust_000160,RETURNING,428,10,9,1,1
cust_000161,LOYAL,889,20,15,5,1
cust_000162,RETURNING,288,7,6,1,0
cust_000163,LOYAL,1207,13,13,0,0
cust_000164,RETURNING,56,5,5,0,0
cust_000165,LOYAL,244,26,21,5,1
cust_000166,RETURNING,365,4,4,0,0
cust_000167,RETURNING,80,7,6,1,0
cust_000168,RETURNING,115,12,10,2,2
cust_000169,RETURNING,60,5,4,1,0
cust_000170,LOYAL,1408,20,19,1,0
cust_000171,NEW,8,0,0,0,0
cust_000172,NEW,3,1,1,0,0
cust_000173,NEW,40,1,1,0,0
cust_000174,NEW,10,2,1,1,0
cust_000175,LOYAL,1503,23,22,1,1
cust_000176,RETURNING,44,8,8,0,0
cust_000177,HIGH_VALUE,2621,35,35,0,0
cust_000178,NEW,23,1,1,0,0
cust_000179,RETURNING,65,4,4,0,0
cust_000180,RETURNING,53,5,5,0,0
cust_000181,RETURNING,35,10,10,0,0
cust_000182,LOYAL,984,24,23,1,0
cust_000183,HIGH_VALUE,536,35,34,1,0
cust_000184,LOYAL,363,21,20,1,1
cust_000185,RETURNING,68,7,3,4,2
cust_000186,RETURNING,338,7,6,1,0
cust_000187,RETURNING,378,6,6,0,0
cust_000188,RETURNING,60,6,6,0,0
cust_000189,LOYAL,947,20,19,1,1
cust_000190,RETURNING,85,7,5,2,0
cust_000191,RETURNING,236,5,4,1,1
cust_000192,LOYAL,1550,31,31,0,0
cust_000193,LOYAL,961,27,23,4,1
cust_000194,NEW,20,1,0,1,1
cust_000195,NEW,20,2,1,1,0
cust_000196,RETURNING,422,8,8,0,0
cust_000197,RETURNING,131,3,3,0,0
cust_000198,RETURNING,126,11,11,0,0
cust_000199,RETURNING,249,6,5,1,0
cust_000200,LOYAL,1421,22,20,2,0
cust_000201,LOYAL,728,33,32,1,1
cust_000202,RETURNING,200,14,11,3,0
cust_000203,RETURNING,101,10,10,0,0
cust_000204,RETURNING,330,12,9,3,2
cust_000205,RETURNING,288,10,9,1,1
cust_000206,RETURNING,258,9,8,1,0
cust_000207,RETURNING,263,7,7,0,0
cust_000208,LOYAL,562,18,18,0,0
cust_000209,NEW,30,2,1,1,1
cust_000210,NEW,50,1,1,0,0
cust_000211,RETURNING,197,10,7,3,0
cust_000212,LOYAL,757,24,22,2,0
cust_000213,RETURNING,494,4,4,0,0
cust_000214,NEW,57,1,1,0,0
cust_000215,LOYAL,340,22,20,2,1
cust_000216,RETURNING,345,7,7,0,0
cust_000217,RETURNING,462,6,4,2,0
cust_000218,HIGH_VALUE,1922,42,34,8,2
cust_000219,NEW,44,2,2,0,0
cust_000220,RETURNING,178,9,8,1,0
cust_000221,RETURNING,331,5,5,0,0
cust_000222,RETURNING,128,8,7,1,1
cust_000223,LOYAL,1697,16,16,0,0
cust_000224,RETURNING,493,9,6,3,1
cust_000225,NEW,50,1,1,0,0
cust_000226,RETURNING,37,6,5,1,1
cust_000227,RETURNING,393,5,4,1,1
cust_000228,NEW,56,1,0,1,0
cust_000229,NEW,60,1,0,1,0
cust_000230,LOYAL,402,25,21,4,1
cust_000231,RETURNING,194,7,5,2,0
cust_000232,RETURNING,95,8,7,1,0
cust_000233,NEW,52,0,0,0,0
cust_000234,RETURNING,162,6,4,2,1
cust_000235,RETURNING,328,6,4,2,1
cust_000236,RETURNING,153,6,6,0,0
cust_000237,RETURNING,303,5,5,0,0
cust_000238,LOYAL,1367,27,26,1,0
cust_000239,LOYAL,1576,33,29,4,1
cust_000240,NEW,39,1,0,1,0
cust_000241,NEW,28,0,0,0,0
cust_000242,NEW,48,0,0,0,0
cust_000243,RETURNING,425,6,4,2,1
cust_000244,NEW,21,1,0,1,1
cust_000245,LOYAL,1005,23,21,2,2
cust_000246,LOYAL,1116,24,20,4,1
cust_000247,LOYAL,1208,22,19,3,1
cust_000248,RETURNING,147,6,6,0,0
cust_000249,HIGH_VALUE,2182,27,25,2,2
cust_000250,NEW,56,1,1,0,0
cust_000251,RETURNING,256,6,5,1,0
cust_000252,RETURNING,437,5,5,0,0
cust_000253,HIGH_VALUE,2839,38,36,2,0
cust_000254,RETURNING,423,6,5,1,0
cust_000255,LOYAL,1647,24,22,2,2
cust_000256,NEW,18,1,1,0,0
cust_000257,HIGH_VALUE,2442,42,40,2,0
cust_000258,RETURNING,358,5,4,1,1
cust_000259,RETURNING,134,7,7,0,0
cust_000260,HIGH_VALUE,405,42,36,6,2
cust_000261,RETURNING,270,8,8,0,0
cust_000262,RETURNING,474,6,5,1,0
cust_000263,RETURNING,173,3,3,0,0
cust_000264,NEW,11,0,0,0,0
cust_000265,RETURNING,57,5,4,1,0
cust_000266,RETURNING,400,3,2,1,0
cust_000267,NEW,51,0,0,0,0
cust_000268,LOYAL,1165,22,17,5,2
cust_000269,RETURNING,203,6,5,1,0
cust_000270,RETURNING,443,6,6,0,0
cust_000271,RETURNING,149,5,4,1,0
cust_000272,RETURNING,356,5,4,1,1
cust_000273,RETURNING,311,5,5,0,0
cust_000274,LOYAL,920,20,16,4,2
cust_000275,HIGH_VALUE,2341,43,42,1,1
cust_000276,RETURNING,199,6,6,0,0
cust_000277,RETURNING,74,9,8,1,0
cust_000278,RETURNING,104,5,2,3,3
cust_000279,RETURNING,378,7,6,1,0
cust_000280,RETURNING,201,6,5,1,0
cust_000281,RETURNING,95,5,4,1,0
cust_000282,RETURNING,413,15,15,0,0
cust_000283,RETURNING,335,8,7,1,1
cust_000284,RETURNING,92,12,12,0,0
cust_000285,RETURNING,365,1,1,0,0
cust_000286,NEW,40,0,0,0,0
cust_000287,NEW,17,0,0,0,0
cust_000288,LOYAL,1293,28,27,1,1
cust_000289,RETURNING,489,9,8,1,0
cust_000290,RETURNING,451,10,9,1,0
cust_000291,RETURNING,403,6,6,0,0
cust_000292,LOYAL,580,25,24,1,0
cust_000293,RETURNING,286,7,6,1,1
cust_000294,LOYAL,280,27,26,1,1
cust_000295,LOYAL,584,21,20,1,1
cust_000296,RETURNING,84,6,6,0,0
cust_000297,LOYAL,1232,21,19,2,1
cust_000298,NEW,2,0,0,0,0
cust_000299,HIGH_VALUE,994,30,30,0,0
cust_000300,RETURNING,280,3,3,0,0
cust_000301,LOYAL,1296,20,18,2,1
cust_000302,RETURNING,398,10,10,0,0
cust_000303,NEW,23,0,0,0,0
cust_000304,NEW,50,0,0,0,0
cust_000305,LOYAL,1203,29,29,0,0
cust_000306,RETURNING,80,4,2,2,0
cust_000307,NEW,4,1,1,0,0
cust_000308,LOYAL,1635,30,27,3,0
cust_000309,LOYAL,626,32,26,6,1
cust_000310,RETURNING,262,6,6,0,0
cust_000311,RETURNING,80,12,7,5,3
cust_000312,NEW,11,2,2,0,0
cust_000313,LOYAL,223,40,36,4,2
cust_000314,RETURNING,256,7,3,4,1
cust_000315,LOYAL,1660,32,30,2,1
cust_000316,RETURNING,428,10,10,0,0
cust_000317,RETURNING,300,5,4,1,1
cust_000318,RETURNING,269,9,9,0,0
cust_000319,NEW,48,1,0,1,0
cust_000320,LOYAL,371,14,13,1,1
cust_000321,RETURNING,128,8,8,0,0
cust_000322,RETURNING,369,4,3,1,1
cust_000323,HIGH_VALUE,2855,39,37,2,1
cust_000324,HIGH_VALUE,1052,31,31,0,0
cust_000325,LOYAL,1771,27,27,0,0
cust_000326,RETURNING,175,6,4,2,1
cust_000327,RETURNING,467,5,5,0,0
cust_000328,LOYAL,240,30,26,4,3
cust_000329,RETURNING,177,5,5,0,0
cust_000330,NEW,7,1,0,1,0
cust_000331,LOYAL,1398,32,29,3,3
cust_000332,RETURNING,358,5,4,1,1
cust_000333,RETURNING,463,8,6,2,0
cust_000334,HIGH_VALUE,2821,32,27,5,3
cust_000335,RETURNING,414,7,1,6,1
cust_000336,RETURNING,385,7,7,0,0
cust_000337,RETURNING,252,7,5,2,1
cust_000338,RETURNING,135,8,6,2,0
cust_000339,NEW,39,0,0,0,0
cust_000340,LOYAL,981,29,26,3,1
cust_000341,LOYAL,797,32,28,4,1
cust_000342,RETURNING,295,5,5,0,0
cust_000343,RETURNING,52,7,5,2,2
cust_000344,LOYAL,235,24,23,1,1
cust_000345,NEW,41,1,1,0,0
cust_000346,RETURNING,261,8,4,4,2
cust_000347,RETURNING,194,6,6,0,0
cust_000348,LOYAL,1535,22,21,1,1
cust_000349,NEW,1,0,0,0,0
cust_000350,LOYAL,1489,24,22,2,0
cust_000351,RETURNING,200,7,5,2,0
cust_000352,RETURNING,497,8,8,0,0
cust_000353,NEW,46,0,0,0,0
cust_000354,RETURNING,399,11,9,2,2
cust_000355,RETURNING,390,8,6,2,1
cust_000356,RETURNING,333,4,4,0,0
cust_000357,NEW,44,0,0,0,0
cust_000358,RETURNING,295,9,8,1,1
cust_000359,RETURNING,42,7,6,1,0
cust_000360,NEW,17,3,2,1,0
cust_000361,HIGH_VALUE,2310,30,25,5,2
cust_000362,RETURNING,278,8,6,2,0
cust_000363,LOYAL,708,19,17,2,1
cust_000364,HIGH_VALUE,1649,44,39,5,2
cust_000365,NEW,1,3,2,1,1
cust_000366,RETURNING,423,7,6,1,0
cust_000367,LOYAL,627,23,16,7,3
cust_000368,RETURNING,472,3,2,1,1
cust_000369,RETURNING,130,7,6,1,1
cust_000370,RETURNING,255,7,7,0,0
cust_000371,NEW,60,1,1,0,0
cust_000372,RETURNING,94,7,5,2,0
cust_000373,HIGH_VALUE,2413,40,34,6,3
cust_000374,HIGH_VALUE,1534,36,35,1,0
cust_000375,NEW,27,1,1,0,0
cust_000376,LOYAL,496,19,15,4,0
cust_000377,RETURNING,443,7,7,0,0
cust_000378,LOYAL,406,23,23,0,0
cust_000379,NEW,59,0,0,0,0
cust_000380,HIGH_VALUE,2473,38,37,1,0
cust_000381,LOYAL,1071,25,21,4,2
cust_000382,NEW,0,1,1,0,0
cust_000383,NEW,32,0,0,0,0
cust_000384,LOYAL,1338,28,24,4,2
cust_000385,NEW,44,1,0,1,0
cust_000386,RETURNING,326,11,8,3,1
cust_000387,LOYAL,341,27,26,1,1
cust_000388,RETURNING,213,12,11,1,1
cust_000389,RETURNING,99,8,6,2,0
cust_000390,RETURNING,400,7,6,1,1
cust_000391,NEW,57,1,1,0,0
cust_000392,HIGH_VALUE,642,36,35,1,0
cust_000393,RETURNING,181,10,9,1,0
cust_000394,RETURNING,415,6,6,0,0
cust_000395,RETURNING,386,3,3,0,0
cust_000396,HIGH_VALUE,638,41,36,5,1
cust_000397,NEW,43,0,0,0,0
cust_000398,LOYAL,1011,24,23,1,1
cust_000399,LOYAL,226,30,29,1,1
cust_000400,LOYAL,377,19,17,2,0
cust_000401,HIGH_VALUE,2320,49,46,3,1
cust_000402,LOYAL,1766,24,21,3,1
cust_000403,HIGH_VALUE,2753,36,30,6,3
cust_000404,NEW,30,3,1,2,0
cust_000405,LOYAL,1564,28,26,2,2
cust_000406,RETURNING,265,8,3,5,2
cust_000407,RETURNING,289,4,4,0,0
cust_000408,LOYAL,374,29,23,6,4
cust_000409,HIGH_VALUE,645,45,38,7,3
cust_000410,LOYAL,200,22,19,3,0
cust_000411,RETURNING,209,8,8,0,0
cust_000412,RETURNING,462,5,5,0,0
cust_000413,RETURNING,390,7,5,2,1
cust_000414,RETURNING,358,8,5,3,3
cust_000415,RETURNING,361,8,6,2,1
cust_000416,NEW,37,2,2,0,0
cust_000417,NEW,37,1,1,0,0
cust_000418,LOYAL,442,29,28,1,0
cust_000419,RETURNING,345,6,5,1,0
cust_000420,HIGH_VALUE,1535,29,28,1,0
cust_000421,RETURNING,408,6,6,0,0
cust_000422,NEW,40,1,0,1,1
cust_000423,NEW,23,3,1,2,1
cust_000424,RETURNING,193,7,5,2,1
cust_000425,HIGH_VALUE,794,33,31,2,1
cust_000426,RETURNING,313,6,5,1,0
cust_000427,RETURNING,159,11,10,1,0
cust_000428,HIGH_VALUE,1026,43,36,7,3
cust_000429,HIGH_VALUE,1723,45,43,2,0
cust_000430,RETURNING,303,8,7,1,0
cust_000431,NEW,60,1,1,0,0
cust_000432,NEW,38,2,1,1,0
cust_000433,NEW,52,0,0,0,0
cust_000434,RETURNING,196,8,8,0,0
cust_000435,RETURNING,304,8,4,4,2
cust_000436,LOYAL,1583,25,25,0,0
cust_000437,RETURNING,319,5,4,1,1
cust_000438,RETURNING,79,6,6,0,0
cust_000439,RETURNING,499,11,10,1,1
cust_000440,LOYAL,1651,22,18,4,1
