merchant_id,merchant_category,merchant_size,merchant_monthly_volume,merchant_recovery_preference
merch_001,DIGITAL_SERVICES,MEDIUM,12576459.78,CONSERVATIVE
merch_002,EDTECH,LARGE,3287516.67,CONSERVATIVE
merch_003,DIGITAL_SERVICES,MEDIUM,5362280.68,CONSERVATIVE
merch_004,HEALTHCARE,SMALL,2834396.65,AGGRESSIVE
merch_005,ECOMMERCE,SMALL,2529963.07,CONSERVATIVE
merch_006,MARKETPLACE,MEDIUM,1375930.04,CONSERVATIVE
merch_007,DIGITAL_SERVICES,LARGE,4613162.58,CONSERVATIVE
merch_008,DIGITAL_SERVICES,SMALL,1280275.26,CONSERVATIVE
merch_009,ECOMMERCE,SMALL,5836886.52,BALANCED
merch_010,EDTECH,MEDIUM,8880867.94,CONSERVATIVE
merch_011,EDTECH,SMALL,4328165.14,BALANCED
merch_012,MARKETPLACE,LARGE,2253227.32,BALANCED
merch_013,FOOD,SMALL,4723631.4,AGGRESSIVE
merch_014,DIGITAL_SERVICES,SMALL,2203262.54,CONSERVATIVE
merch_015,EDTECH,LARGE,7645822.45,AGGRESSIVE
merch_016,SAAS,SMALL,480564.51,BALANCED
merch_017,TRAVEL,SMALL,2144711.23,CONSERVATIVE
merch_018,ECOMMERCE,SMALL,409753.42,BALANCED
merch_019,DIGITAL_SERVICES,SMALL,672704.89,AGGRESSIVE
merch_020,FOOD,SMALL,11733811.18,CONSERVATIVE
merch_021,HEALTHCARE,SMALL,7343365.63,AGGRESSIVE
merch_022,EDTECH,SMALL,1461015.96,BALANCED
merch_023,MARKETPLACE,SMALL,667716.79,BALANCED
merch_024,MARKETPLACE,MEDIUM,154754.3,AGGRESSIVE
merch_025,DIGITAL_SERVICES,MEDIUM,1742144.42,BALANCED
merch_026,ECOMMERCE,SMALL,33751582.36,BALANCED
merch_027,TRAVEL,SMALL,4634352.82,BALANCED
merch_028,ECOMMERCE,MEDIUM,1714360.29,BALANCED
merch_029,ECOMMERCE,LARGE,4776425.67,BALANCED
merch_030,HEALTHCARE,LARGE,629804.35,CONSERVATIVE
merch_031,HEALTHCARE,SMALL,2228411.34,BALANCED
merch_032,MARKETPLACE,SMALL,3313780.76,BALANCED
merch_033,SAAS,SMALL,2752505.64,CONSERVATIVE
merch_034,EDTECH,SMALL,6615520.04,CONSERVATIVE
merch_035,TRAVEL,MEDIUM,4234467.21,BALANCED
merch_036,ECOMMERCE,SMALL,5852906.1,CONSERVATIVE
merch_037,ECOMMERCE,SMALL,1507179.47,CONSERVATIVE
merch_038,TRAVEL,SMALL,7362707.24,BALANCED
merch_039,SAAS,MEDIUM,15295355.75,BALANCED
merch_040,FOOD,SMALL,1137079.09,BALANCED
merch_041,EDTECH,LARGE,1234809.41,BALANCED
merch_042,DIGITAL_SERVICES,SMALL,11408932.77,AGGRESSIVE
merch_043,HEALTHCARE,LARGE,2477545.38,BALANCED
merch_044,SAAS,SMALL,12212178.37,CONSERVATIVE
merch_045,DIGITAL_SERVICES,LARGE,1927216.2,CONSERVATIVE
merch_046,DIGITAL_SERVICES,LARGE,12854036.22,BALANCED
merch_047,EDTECH,ENTERPRISE,3421565.19,CONSERVATIVE
merch_048,SAAS,LARGE,3883905.08,BALANCED
merch_049,HEALTHCARE,LARGE,14343979.55,AGGRESSIVE
merch_050,ECOMMERCE,MEDIUM,2089326.6,CONSERVATIVE
merch_051,ECOMMERCE,LARGE,1170569.28,CONSERVATIVE
merch_052,ECOMMERCE,SMALL,1915632.93,AGGRESSIVE
merch_053,DIGITAL_SERVICES,MEDIUM,4715930.47,BALANCED
merch_054,FOOD,MEDIUM,626788.08,CONSERVATIVE
merch_055,HEALTHCARE,LARGE,5675071.66,AGGRESSIVE
merch_056,DIGITAL_SERVICES,MEDIUM,1750394.11,AGGRESSIVE
merch_057,EDTECH,SMALL,9453877.26,BALANCED
merch_058,FOOD,MEDIUM,273720.43,BALANCED
merch_059,ECOMMERCE,SMALL,1366218.24,CONSERVATIVE
merch_060,ECOMMERCE,SMALL,555517.11,CONSERVATIVE
merch_061,FOOD,MEDIUM,1313089.59,BALANCED
merch_062,TRAVEL,SMALL,3843095.61,BALANCED
merch_063,FOOD,SMALL,2507749.31,BALANCED
merch_064,DIGITAL_SERVICES,SMALL,2328524.3,AGGRESSIVE
merch_065,FOOD,SMALL,2558516.04,CONSERVATIVE
merch_066,TRAVEL,SMALL,3676644.55,BALANCED
merch_067,TRAVEL,SMALL,1094257.71,CONSERVATIVE
merch_068,SAAS,MEDIUM,6082780.62,AGGRESSIVE
merch_069,ECOMMERCE,SMALL,5819871.95,CONSERVATIVE
merch_070,EDTECH,ENTERPRISE,4409010.23,BALANCED
merch_071,ECOMMERCE,LARGE,5233842.6,BALANCED
merch_072,EDTECH,MEDIUM,4035096.79,BALANCED
